X,Y
3.47,1.86E-06
3.48,1.73E-06
3.49,1.61E-06
3.5,1.50E-06
3.51,1.39E-06
3.52,1.29E-06
3.53,1.20E-06
3.54,1.11E-06
3.55,1.03E-06
3.56,9.59E-07
3.57,8.90E-07
3.58,8.25E-07
3.59,7.65E-07
3.6,7.10E-07
3.61,6.58E-07
3.62,6.10E-07
3.63,5.65E-07
3.64,5.24E-07
3.65,4.85E-07
3.66,4.49E-07
3.67,4.16E-07
3.68,3.85E-07
3.69,3.56E-07
3.7,3.30E-07
3.71,3.05E-07
3.72,2.82E-07
3.73,2.61E-07
3.74,2.41E-07
3.75,2.23E-07
3.76,2.06E-07
3.77,1.90E-07
3.78,1.76E-07
3.79,1.62E-07
3.8,1.50E-07
3.81,1.38E-07
3.82,1.28E-07
3.83,1.18E-07
3.84,1.09E-07
3.85,1.00E-07
3.86,9.26E-08
3.87,8.53E-08
3.88,7.87E-08
3.89,7.25E-08
3.9,6.68E-08
3.91,6.15E-08
3.92,5.67E-08
3.93,5.22E-08
3.94,4.81E-08
3.95,4.42E-08
3.96,4.07E-08
3.97,3.75E-08
3.98,3.45E-08
3.99,3.17E-08
4,2.91E-08
4.01,2.68E-08
4.02,2.46E-08
4.03,2.26E-08
4.04,2.08E-08
4.05,1.91E-08
4.06,1.75E-08
4.07,1.61E-08
4.08,1.48E-08
4.09,1.36E-08
4.1,1.24E-08
4.11,1.14E-08
4.12,1.05E-08
4.13,9.60E-09
4.14,8.81E-09
4.15,8.07E-09
4.16,7.40E-09
4.17,6.78E-09
4.18,6.21E-09
4.19,5.69E-09
4.2,5.21E-09
4.21,4.77E-09
4.22,4.36E-09
4.23,3.99E-09
4.24,3.65E-09
4.25,3.34E-09
4.26,3.06E-09
4.27,2.79E-09
4.28,2.55E-09
4.29,2.33E-09
4.3,2.13E-09
4.31,1.95E-09
4.32,1.78E-09
4.33,1.62E-09
4.34,1.48E-09
4.35,1.35E-09
4.36,1.24E-09
4.37,1.13E-09
4.38,1.03E-09
4.39,9.38E-10
4.4,8.55E-10
4.41,7.80E-10
4.42,7.11E-10
4.43,6.47E-10
4.44,5.90E-10
4.45,5.37E-10
4.46,4.89E-10
4.47,4.46E-10
4.48,4.06E-10
4.49,3.69E-10
4.5,3.36E-10
4.51,3.06E-10
4.52,2.78E-10
4.53,2.53E-10
4.54,2.30E-10
4.55,2.09E-10
4.56,1.90E-10
4.57,1.72E-10
4.58,1.57E-10
4.59,1.42E-10
4.6,1.29E-10
4.61,1.17E-10
4.62,1.06E-10
4.63,9.66E-11
4.64,8.76E-11
4.65,7.95E-11
4.66,7.21E-11
4.67,6.53E-11
4.68,5.92E-11
4.69,5.37E-11
4.7,4.86E-11
4.71,4.41E-11
4.72,3.99E-11
4.73,3.61E-11
4.74,3.27E-11
4.75,2.96E-11
4.76,2.68E-11
4.77,2.42E-11
4.78,2.19E-11
4.79,1.98E-11
4.8,1.79E-11
4.81,1.62E-11
4.82,1.47E-11
4.83,1.32E-11
4.84,1.20E-11
4.85,1.08E-11
4.86,9.76E-12
4.87,8.81E-12
4.88,7.95E-12
4.89,7.18E-12
4.9,6.47E-12
4.91,5.84E-12
4.92,5.27E-12
4.93,4.75E-12
4.94,4.28E-12
4.95,3.86E-12
4.96,3.48E-12
4.97,3.13E-12
4.98,2.82E-12
4.99,2.54E-12
5,2.29E-12
5.01,2.06E-12
5.02,1.85E-12
5.03,1.67E-12
5.04,1.50E-12
5.05,1.35E-12
5.06,1.21E-12
5.07,1.09E-12
5.08,9.81E-13
5.09,8.82E-13
5.1,7.93E-13
5.11,7.12E-13
5.12,6.39E-13
5.13,5.74E-13
5.14,5.15E-13
5.15,4.63E-13
5.16,4.15E-13
5.17,3.72E-13
5.18,3.34E-13
5.19,3.00E-13
5.2,2.69E-13
5.21,2.41E-13
5.22,2.16E-13
5.23,1.93E-13
5.24,1.73E-13
5.25,1.55E-13
5.26,1.39E-13
5.27,1.24E-13
5.28,1.11E-13
5.29,9.97E-14
5.3,8.92E-14
5.31,7.98E-14
5.32,7.14E-14
